club,cliche_count,word_count,cliches_per_10000_words
Arsenal,6.0,112806,0.5318866017765013
Bournemouth,4.0,55280,0.723589001447178
Brighton,6.0,96925,0.6190353366004643
Chelsea,9.0,125562,0.7167773689492043
Crystal Palace,2.0,53882,0.37118147062098655
Everton,6.0,96642,0.6208480784751971
Fulham,3.0,44526,0.6737636437137852
Leicester,15.0,118608,1.264670174018616
Liverpool,3.0,105784,0.28359676321560917
Manchester City,5.0,97156,0.514636255094899
Manchester United,0.0,39341,0.0
Newcastle,21.0,244949,0.8573213199482341
Nottingham Forest,11.0,54544,2.0167204458785566
Southampton,9.0,159049,0.565863350288276
West Ham,2.0,65546,0.30512922222561256
Wolves,5.0,86066,0.5809495038691237
