club,manager,cliche,count
Arsenal,Mikel Arteta,defending from the front,1
Arsenal,Mikel Arteta,earned the right to play,1
Arsenal,Mikel Arteta,point to prove,1
Arsenal,Mikel Arteta,put the game to bed,1
Arsenal,Mikel Arteta,that hunger,1
Arsenal,Mikel Arteta,unfinished business,1
Bournemouth,Andoni Iraola,have to take our chances,2
Bournemouth,Andoni Iraola,end product,1
Bournemouth,Andoni Iraola,one game at a time,1
Brighton,F. Hürzeler,end product,1
Brighton,F. Hürzeler,games coming thick and fast,1
Brighton,F. Hürzeler,got the rub of the green,1
Brighton,F. Hürzeler,one game at a time,1
Brighton,F. Hürzeler,that old cliche,1
Brighton,F. Hürzeler,with all due respect,1
Chelsea,E. Maresca,at the end of the day,3
Chelsea,E. Maresca,that kind of player,3
Chelsea,E. Maresca,business end of the season,2
Chelsea,E. Maresca,backs to the wall,1
Crystal Palace,O. Glasner,too much respect,2
Everton,D. Moyes,at the end of the day,2
Everton,D. Moyes,unfinished business,1
Everton,S. Dyche,at the end of the day,2
Everton,S. Dyche,with all due respect,1
Fulham,Marco Silva,end product,3
Leicester,R. van Nistelrooy,business end of the season,1
Leicester,R. van Nistelrooy,games coming thick and fast,1
Leicester,R. van Nistelrooy,one game at a time,1
Leicester,S. Cooper,one game at a time,4
Leicester,S. Cooper,point to prove,2
Leicester,S. Cooper,that old cliche,2
Leicester,S. Cooper,at the end of the day,1
Leicester,S. Cooper,earned the right to play,1
Leicester,S. Cooper,parking the bus,1
Leicester,S. Cooper,too much respect,1
Liverpool,A. Slot,a game of two halves,1
Liverpool,A. Slot,no easy games,1
Liverpool,A. Slot,one game at a time,1
Manchester City,Guardiola,at the end of the day,3
Manchester City,Guardiola,point to prove,1
Manchester City,Guardiola,that hunger,1
Newcastle,E. Howe,no easy games,4
Newcastle,E. Howe,a dangerous lead,2
Newcastle,E. Howe,must-win game,2
Newcastle,E. Howe,that kind of player,2
Newcastle,E. Howe,a bit of a luxury,1
Newcastle,E. Howe,been immense,1
Newcastle,E. Howe,big ask,1
Newcastle,E. Howe,bit of quality,1
Newcastle,E. Howe,earned the right to play,1
Newcastle,E. Howe,every game is a cup final,1
Newcastle,E. Howe,got that in his locker,1
Newcastle,E. Howe,got to score from there,1
Newcastle,E. Howe,it is a cliche,1
Newcastle,E. Howe,unfinished business,1
Newcastle,E. Howe,with all due respect,1
Nottingham Forest,Nuno Espírito Santo,big ask,3
Nottingham Forest,Nuno Espírito Santo,business end of the season,3
Nottingham Forest,Nuno Espírito Santo,no easy games,2
Nottingham Forest,Nuno Espírito Santo,at the end of the day,1
Nottingham Forest,Nuno Espírito Santo,one game at a time,1
Nottingham Forest,Nuno Espírito Santo,that old cliche,1
Southampton,I. Juric,at the end of the day,2
Southampton,I. Juric,no easy games,2
Southampton,I. Juric,one game at a time,1
Southampton,I. Juric,that kind of player,1
Southampton,R. Martin,been immense,1
Southampton,R. Martin,no easy games,1
Southampton,R. Martin,still has a lot to learn,1
West Ham,G. Potter,at the end of the day,1
West Ham,G. Potter,been immense,1
Wolves,G. O'Neil,at the end of the day,2
Wolves,G. O'Neil,bit of quality,1
Wolves,G. O'Neil,worked his socks off,1
Wolves,Vítor Pereira,point to prove,1
