club,badge_url
Manchester United,https://media.api-sports.io/football/teams/33.png
Newcastle,https://media.api-sports.io/football/teams/34.png
Bournemouth,https://media.api-sports.io/football/teams/35.png
Fulham,https://media.api-sports.io/football/teams/36.png
Wolves,https://media.api-sports.io/football/teams/39.png
Liverpool,https://media.api-sports.io/football/teams/40.png
Southampton,https://media.api-sports.io/football/teams/41.png
Arsenal,https://media.api-sports.io/football/teams/42.png
Everton,https://media.api-sports.io/football/teams/45.png
Leicester,https://media.api-sports.io/football/teams/46.png
Tottenham,https://media.api-sports.io/football/teams/47.png
West Ham,https://media.api-sports.io/football/teams/48.png
Chelsea,https://media.api-sports.io/football/teams/49.png
Manchester City,https://media.api-sports.io/football/teams/50.png
Brighton,https://media.api-sports.io/football/teams/51.png
Crystal Palace,https://media.api-sports.io/football/teams/52.png
Brentford,https://media.api-sports.io/football/teams/55.png
Ipswich,https://media.api-sports.io/football/teams/57.png
Nottingham Forest,https://media.api-sports.io/football/teams/65.png
Aston Villa,https://media.api-sports.io/football/teams/66.png
