club,manager,start_date,end_date,photo_url
Arsenal,Mikel Arteta,2024-08-01,,https://media.api-sports.io/football/coachs/7248.png
Aston Villa,Unai Emery,2024-08-01,,https://media.api-sports.io/football/coachs/18.png
Bournemouth,Andoni Iraola,2024-08-01,,https://media.api-sports.io/football/coachs/2108.png
Brentford,T. Frank,2024-08-01,,https://media.api-sports.io/football/coachs/90.png
Brighton,F. Hürzeler,2024-08-01,,https://media.api-sports.io/football/coachs/19253.png
Chelsea,E. Maresca,2024-08-01,,https://media.api-sports.io/football/coachs/12629.png
Crystal Palace,O. Glasner,2024-08-01,,https://media.api-sports.io/football/coachs/1534.png
Everton,S. Dyche,2024-08-01,2025-01-01,https://media.api-sports.io/football/coachs/7.png
Everton,D. Moyes,2025-01-01,,https://media.api-sports.io/football/coachs/5662.png
Fulham,Marco Silva,2024-08-01,,https://media.api-sports.io/football/coachs/10.png
Ipswich,K. McKenna,2024-08-01,,https://media.api-sports.io/football/coachs/16556.png
Leicester,S. Cooper,2024-08-01,2024-12-01,data/images/coaches/steve_cooper.png
Leicester,R. van Nistelrooy,2024-12-01,,https://media.api-sports.io/football/coachs/5380.png
Liverpool,A. Slot,2024-08-01,,https://media.api-sports.io/football/coachs/2006.png
Manchester City,Guardiola,2024-08-01,,https://media.api-sports.io/football/coachs/4.png
Manchester United,E. ten Hag,2024-08-01,2024-12-01,https://media.api-sports.io/football/coachs/1993.png
Manchester United,Ruben Amorim,2024-12-01,,https://media.api-sports.io/football/coachs/4720.png
Newcastle,E. Howe,2024-08-01,,https://media.api-sports.io/football/coachs/5.png
Nottingham Forest,Nuno Espírito Santo,2024-08-01,,https://media.api-sports.io/football/coachs/16.png
Southampton,R. Martin,2024-08-01,2024-12-01,https://media.api-sports.io/football/coachs/6025.png
Southampton,I. Juric,2024-12-01,,https://media.api-sports.io/football/coachs/2408.png
Tottenham,A. Postecoglou,2024-08-01,,https://media.api-sports.io/football/coachs/548.png
West Ham,Lopetegui,2024-08-01,2025-01-01,https://media.api-sports.io/football/coachs/1594.png
West Ham,G. Potter,2025-01-01,,https://media.api-sports.io/football/coachs/12.png
Wolves,G. O'Neil,2024-08-01,2025-01-01,https://media.api-sports.io/football/coachs/18151.png
Wolves,Vítor Pereira,2025-01-01,,https://media.api-sports.io/football/coachs/55.png
